Year,State,County,HAI,Operative_Procedure,Facility_ID,Facility_Name,Hospital_Category_RiskAdjustment,Facility_Type,Procedure_Count,Infections_Reported,Infections_Predicted,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,Notes
2024,California,Santa Clara,Surgical Site Infections (SSI),Gastric surgery,070001351,El Camino Health,Acute Care Hospital,"Community, >250 Beds",72,0,0.51,0,0,7.19,Same,¥ See Data Dictionary
2024,California,Santa Clara,Surgical Site Infections (SSI),Hip prosthesis,070001351,El Camino Health,Acute Care Hospital,"Community, >250 Beds",295,2,1.52,1.32,0.22,4.36,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),"Hysterectomy, abdominal",070001351,El Camino Health,Acute Care Hospital,"Community, >250 Beds",249,2,1.45,1.38,0.23,4.55,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),"Hysterectomy, vaginal",070001351,El Camino Health,Acute Care Hospital,"Community, >250 Beds",9,0,0.04,,,,,
2024,California,Santa Clara,Surgical Site Infections (SSI),Kidney surgery,070001351,El Camino Health,Acute Care Hospital,"Community, >250 Beds",77,0,0.25,0,0,14.52,Same,¥ See Data Dictionary
2024,California,Santa Clara,Surgical Site Infections (SSI),Knee prosthesis,070001351,El Camino Health,Acute Care Hospital,"Community, >250 Beds",276,2,1.03,1.95,0.33,6.43,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),Laminectomy,070001351,El Camino Health,Acute Care Hospital,"Community, >250 Beds",114,1,0.35,2.83,0.07,15.78,Same,¥ See Data Dictionary
2024,California,Santa Clara,Surgical Site Infections (SSI),Open reduction of fracture,070001351,El Camino Health,Acute Care Hospital,"Community, >250 Beds",195,3,1.02,2.96,0.75,8.05,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),Ovarian surgery,070001351,El Camino Health,Acute Care Hospital,"Community, >250 Beds",92,0,0.07,,,,,
2024,California,Santa Clara,Surgical Site Infections (SSI),Pacemaker surgery,070001351,El Camino Health,Acute Care Hospital,"Community, >250 Beds",201,1,0.33,3.05,0.08,16.99,Same,¥ See Data Dictionary
2024,California,Santa Clara,Surgical Site Infections (SSI),Rectal surgery,070001351,El Camino Health,Acute Care Hospital,"Community, >250 Beds",28,0,0.21,0,0,17.32,Same,¥ See Data Dictionary
2024,California,Santa Clara,Surgical Site Infections (SSI),Small bowel surgery,070001351,El Camino Health,Acute Care Hospital,"Community, >250 Beds",107,5,2.01,2.48,0.91,5.51,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),Spinal fusion,070001351,El Camino Health,Acute Care Hospital,"Community, >250 Beds",159,1,1.78,0.56,0.03,2.77,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),Spleen surgery,070001351,El Camino Health,Acute Care Hospital,"Community, >250 Beds",6,0,0.04,,,,,
2024,California,Santa Clara,Surgical Site Infections (SSI),Thoracic surgery,070001351,El Camino Health,Acute Care Hospital,"Community, >250 Beds",105,0,0.21,0,0,17.4,Same,¥ See Data Dictionary
2024,California,Santa Clara,Surgical Site Infections (SSI),Abdominal aortic aneurysm repair,070001355,Kaiser Foundation Hospital-Santa Clara,Acute Care Hospital,"Community, >250 Beds",4,0,0.03,,,,,
2024,California,Santa Clara,Surgical Site Infections (SSI),All procedures,070001355,Kaiser Foundation Hospital-Santa Clara,Acute Care Hospital,"Community, >250 Beds",4021,18,20.6,0.87,0.53,1.35,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),Appendix surgery,070001355,Kaiser Foundation Hospital-Santa Clara,Acute Care Hospital,"Community, >250 Beds",186,1,0.57,1.75,0.04,9.74,Same,¥ See Data Dictionary
2024,California,Santa Clara,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",070001355,Kaiser Foundation Hospital-Santa Clara,Acute Care Hospital,"Community, >250 Beds",2,0,0.06,,,,,
2024,California,Santa Clara,Surgical Site Infections (SSI),Cardiac surgery,070001355,Kaiser Foundation Hospital-Santa Clara,Acute Care Hospital,"Community, >250 Beds",543,0,1.45,0,0,2.07,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),Cesarean section,070001355,Kaiser Foundation Hospital-Santa Clara,Acute Care Hospital,"Community, >250 Beds",1162,1,3.53,0.28,0.01,1.4,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),Colon surgery,070001355,Kaiser Foundation Hospital-Santa Clara,Acute Care Hospital,"Community, >250 Beds",139,5,3.85,1.3,0.48,2.88,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),"Coronary bypass,chest and donor incisions",070001355,Kaiser Foundation Hospital-Santa Clara,Acute Care Hospital,"Community, >250 Beds",571,2,3.35,0.6,0.1,1.98,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),"Coronary bypass,chest incision only",070001355,Kaiser Foundation Hospital-Santa Clara,Acute Care Hospital,"Community, >250 Beds",22,0,0.1,,,,,
2024,California,Santa Clara,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),070001355,Kaiser Foundation Hospital-Santa Clara,Acute Care Hospital,"Community, >250 Beds",158,1,0.85,1.18,0.03,6.58,Same,¥ See Data Dictionary
2024,California,Santa Clara,Surgical Site Infections (SSI),Gallbladder surgery,070001355,Kaiser Foundation Hospital-Santa Clara,Acute Care Hospital,"Community, >250 Beds",299,2,1.55,1.29,0.22,4.27,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),Gastric surgery,070001355,Kaiser Foundation Hospital-Santa Clara,Acute Care Hospital,"Community, >250 Beds",42,0,0.61,0,0,6.04,Same,¥ See Data Dictionary
2024,California,Santa Clara,Surgical Site Infections (SSI),Hip prosthesis,070001355,Kaiser Foundation Hospital-Santa Clara,Acute Care Hospital,"Community, >250 Beds",128,0,0.56,0,0,6.56,Same,¥ See Data Dictionary
2024,California,Santa Clara,Surgical Site Infections (SSI),"Hysterectomy, abdominal",070001355,Kaiser Foundation Hospital-Santa Clara,Acute Care Hospital,"Community, >250 Beds",87,0,1.14,0,0,2.63,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),"Hysterectomy, vaginal",070001355,Kaiser Foundation Hospital-Santa Clara,Acute Care Hospital,"Community, >250 Beds",1,0,0,,,,,
2024,California,Santa Clara,Surgical Site Infections (SSI),Kidney surgery,070001355,Kaiser Foundation Hospital-Santa Clara,Acute Care Hospital,"Community, >250 Beds",98,0,0.32,0,0,11.42,Same,¥ See Data Dictionary
2024,California,Santa Clara,Surgical Site Infections (SSI),Knee prosthesis,070001355,Kaiser Foundation Hospital-Santa Clara,Acute Care Hospital,"Community, >250 Beds",61,0,0.19,,,,,
2024,California,Santa Clara,Surgical Site Infections (SSI),Open reduction of fracture,070001355,Kaiser Foundation Hospital-Santa Clara,Acute Care Hospital,"Community, >250 Beds",63,0,0.4,0,0,9.15,Same,¥ See Data Dictionary
2024,California,Santa Clara,Surgical Site Infections (SSI),Ovarian surgery,070001355,Kaiser Foundation Hospital-Santa Clara,Acute Care Hospital,"Community, >250 Beds",100,0,0.09,,,,,
2024,California,Santa Clara,Surgical Site Infections (SSI),Pacemaker surgery,070001355,Kaiser Foundation Hospital-Santa Clara,Acute Care Hospital,"Community, >250 Beds",96,3,0.22,13.58,2.8,39.67,Worse,¥ See Data Dictionary
2024,California,Santa Clara,Surgical Site Infections (SSI),Rectal surgery,070001355,Kaiser Foundation Hospital-Santa Clara,Acute Care Hospital,"Community, >250 Beds",7,0,0.06,,,,,
2024,California,Santa Clara,Surgical Site Infections (SSI),Small bowel surgery,070001355,Kaiser Foundation Hospital-Santa Clara,Acute Care Hospital,"Community, >250 Beds",52,3,1.03,2.91,0.74,7.92,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),Spleen surgery,070001355,Kaiser Foundation Hospital-Santa Clara,Acute Care Hospital,"Community, >250 Beds",4,0,0.02,,,,,
2024,California,Santa Clara,Surgical Site Infections (SSI),Thoracic surgery,070001355,Kaiser Foundation Hospital-Santa Clara,Acute Care Hospital,"Community, >250 Beds",196,0,0.64,0,0,5.78,Same,¥ See Data Dictionary
2024,California,Santa Clara,Surgical Site Infections (SSI),Abdominal aortic aneurysm repair,070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,7,0,0.05,,,,,
2024,California,Santa Clara,Surgical Site Infections (SSI),All procedures,070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,12153,117,136.72,0.86,0.71,1.02,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),Appendix surgery,070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,245,0,1.64,0,0,1.83,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,494,18,18.63,0.97,0.59,1.5,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),Cardiac surgery,070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,761,2,2.67,0.75,0.13,2.47,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),Cesarean section,070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,6,0,0.03,,,,,
2024,California,Santa Clara,Surgical Site Infections (SSI),Colon surgery,070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,623,15,21.2,0.71,0.41,1.14,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),"Coronary bypass,chest and donor incisions",070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,285,2,2.8,0.71,0.12,2.36,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),"Coronary bypass,chest incision only",070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,39,0,0.41,0,0,8.98,Same,¥ See Data Dictionary
2024,California,Santa Clara,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,1111,6,6.98,0.86,0.35,1.79,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),Gallbladder surgery,070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,544,3,5,0.6,0.15,1.63,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),Gastric surgery,070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,344,3,4.58,0.66,0.17,1.78,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),Heart transplant,070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,92,1,1.27,0.79,0.04,3.88,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),Hip prosthesis,070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,562,6,5.95,1.01,0.41,2.1,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),"Hysterectomy, abdominal",070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,300,0,3.99,0,0,0.75,Better,
2024,California,Santa Clara,Surgical Site Infections (SSI),"Hysterectomy, vaginal",070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,6,0,0.04,,,,,
2024,California,Santa Clara,Surgical Site Infections (SSI),Kidney surgery,070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,353,1,1.17,0.86,0.04,4.23,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),Kidney transplant,070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,166,0,1.11,0,0,2.7,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),Knee prosthesis,070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,653,2,3.39,0.59,0.1,1.95,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),Laminectomy,070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,1103,3,4.56,0.66,0.17,1.79,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),Liver transplant,070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,137,4,7.05,0.57,0.18,1.37,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),Open reduction of fracture,070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,546,2,3.96,0.51,0.09,1.67,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),Ovarian surgery,070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,325,0,0.23,0,0,15.83,Same,¥ See Data Dictionary
2024,California,Santa Clara,Surgical Site Infections (SSI),Pacemaker surgery,070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,521,0,1.11,0,0,2.71,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),Rectal surgery,070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,267,6,5.96,1.01,0.41,2.09,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),Small bowel surgery,070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,740,19,15.06,1.26,0.78,1.93,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),Spinal fusion,070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,1069,17,12.71,1.34,0.81,2.1,Same,
2024,California,Santa Clara,Surgical Site Infections (SSI),Spleen surgery,070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,104,0,0.45,0,0,8.22,Same,¥ See Data Dictionary
2024,California,Santa Clara,Surgical Site Infections (SSI),Thoracic surgery,070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,750,7,4.72,1.48,0.65,2.94,Same,
2024,California,San Diego,Surgical Site Infections (SSI),All procedures,080000022,Scripps Green Hospital,Acute Care Hospital,Major Teaching,4874,22,29.27,0.75,0.48,1.12,Same,
2024,California,San Diego,Surgical Site Infections (SSI),Appendix surgery,080000022,Scripps Green Hospital,Acute Care Hospital,Major Teaching,8,0,0.03,,,,,
2024,California,San Diego,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",080000022,Scripps Green Hospital,Acute Care Hospital,Major Teaching,45,1,1.55,0.64,0.03,3.18,Same,
2024,California,San Diego,Surgical Site Infections (SSI),Cardiac surgery,080000022,Scripps Green Hospital,Acute Care Hospital,Major Teaching,1,0,0.01,,,,,
2024,California,San Diego,Surgical Site Infections (SSI),Colon surgery,080000022,Scripps Green Hospital,Acute Care Hospital,Major Teaching,168,0,3.94,0,0,0.76,Better,
2024,California,San Diego,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),080000022,Scripps Green Hospital,Acute Care Hospital,Major Teaching,122,0,0.56,0,0,6.59,Same,¥ See Data Dictionary
2024,California,San Diego,Surgical Site Infections (SSI),Gallbladder surgery,080000022,Scripps Green Hospital,Acute Care Hospital,Major Teaching,45,0,0.15,,,,,
2024,California,San Diego,Surgical Site Infections (SSI),Gastric surgery,080000022,Scripps Green Hospital,Acute Care Hospital,Major Teaching,97,2,0.89,2.26,0.27,8.15,Same,¥ See Data Dictionary
2024,California,San Diego,Surgical Site Infections (SSI),Hip prosthesis,080000022,Scripps Green Hospital,Acute Care Hospital,Major Teaching,1023,2,4.71,0.43,0.07,1.4,Same,
2024,California,San Diego,Surgical Site Infections (SSI),"Hysterectomy, abdominal",080000022,Scripps Green Hospital,Acute Care Hospital,Major Teaching,5,0,0.03,,,,,
2024,California,San Diego,Surgical Site Infections (SSI),Kidney surgery,080000022,Scripps Green Hospital,Acute Care Hospital,Major Teaching,83,0,0.27,0,0,13.46,Same,¥ See Data Dictionary
2024,California,San Diego,Surgical Site Infections (SSI),Kidney transplant,080000022,Scripps Green Hospital,Acute Care Hospital,Major Teaching,49,0,0.23,0,0,15.83,Same,¥ See Data Dictionary
2024,California,San Diego,Surgical Site Infections (SSI),Knee prosthesis,080000022,Scripps Green Hospital,Acute Care Hospital,Major Teaching,1226,1,3.71,0.27,0.01,1.33,Same,
2024,California,San Diego,Surgical Site Infections (SSI),Laminectomy,080000022,Scripps Green Hospital,Acute Care Hospital,Major Teaching,812,7,2.25,3.11,1.36,6.16,Worse,
2024,California,San Diego,Surgical Site Infections (SSI),Liver transplant,080000022,Scripps Green Hospital,Acute Care Hospital,Major Teaching,23,0,0.98,0,0,3.77,Same,¥ See Data Dictionary
2024,California,San Diego,Surgical Site Infections (SSI),Open reduction of fracture,080000022,Scripps Green Hospital,Acute Care Hospital,Major Teaching,55,0,0.39,0,0,9.48,Same,¥ See Data Dictionary
2024,California,San Diego,Surgical Site Infections (SSI),Ovarian surgery,080000022,Scripps Green Hospital,Acute Care Hospital,Major Teaching,5,0,0,,,,,
2024,California,San Diego,Surgical Site Infections (SSI),Pacemaker surgery,080000022,Scripps Green Hospital,Acute Care Hospital,Major Teaching,4,0,0.01,,,,,
2024,California,San Diego,Surgical Site Infections (SSI),Rectal surgery,080000022,Scripps Green Hospital,Acute Care Hospital,Major Teaching,33,0,0.65,0,0,5.72,Same,¥ See Data Dictionary
2024,California,San Diego,Surgical Site Infections (SSI),Small bowel surgery,080000022,Scripps Green Hospital,Acute Care Hospital,Major Teaching,156,0,3.33,0,0,0.9,Better,
2024,California,San Diego,Surgical Site Infections (SSI),Spinal fusion,080000022,Scripps Green Hospital,Acute Care Hospital,Major Teaching,841,9,5.32,1.69,0.83,3.1,Same,
2024,California,San Diego,Surgical Site Infections (SSI),Spleen surgery,080000022,Scripps Green Hospital,Acute Care Hospital,Major Teaching,7,0,0.04,,,,,
2024,California,San Diego,Surgical Site Infections (SSI),Thoracic surgery,080000022,Scripps Green Hospital,Acute Care Hospital,Major Teaching,66,0,0.23,0,0,15.83,Same,¥ See Data Dictionary
2024,California,San Diego,Surgical Site Infections (SSI),All procedures,080000023,Rady Children's Hospital - San Diego,Acute Care Hospital,Pediatric,77,1,0.7,1.42,0.04,7.91,Same,¥ See Data Dictionary
2024,California,San Diego,Surgical Site Infections (SSI),Appendix surgery,080000023,Rady Children's Hospital - San Diego,Acute Care Hospital,Pediatric,7,0,0.02,,,,,
2024,California,San Diego,Surgical Site Infections (SSI),Cardiac surgery,080000023,Rady Children's Hospital - San Diego,Acute Care Hospital,Pediatric,3,0,0.01,,,,,
2024,California,San Diego,Surgical Site Infections (SSI),Colon surgery,080000023,Rady Children's Hospital - San Diego,Acute Care Hospital,Pediatric,1,0,0.02,,,,,
2024,California,San Diego,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),080000023,Rady Children's Hospital - San Diego,Acute Care Hospital,Pediatric,7,0,0.03,,,,,
2024,California,San Diego,Surgical Site Infections (SSI),Gallbladder surgery,080000023,Rady Children's Hospital - San Diego,Acute Care Hospital,Pediatric,2,0,0,,,,,
2024,California,San Diego,Surgical Site Infections (SSI),Gastric surgery,080000023,Rady Children's Hospital - San Diego,Acute Care Hospital,Pediatric,5,0,0.05,,,,,
2024,California,San Diego,Surgical Site Infections (SSI),Kidney transplant,080000023,Rady Children's Hospital - San Diego,Acute Care Hospital,Pediatric,1,0,0,,,,,
2024,California,San Diego,Surgical Site Infections (SSI),Laminectomy,080000023,Rady Children's Hospital - San Diego,Acute Care Hospital,Pediatric,10,0,0.02,,,,,
2024,California,San Diego,Surgical Site Infections (SSI),Liver transplant,080000023,Rady Children's Hospital - San Diego,Acute Care Hospital,Pediatric,1,0,0.11,,,,,
2024,California,San Diego,Surgical Site Infections (SSI),Open reduction of fracture,080000023,Rady Children's Hospital - San Diego,Acute Care Hospital,Pediatric,10,0,0.09,,,,,
2024,California,San Diego,Surgical Site Infections (SSI),Ovarian surgery,080000023,Rady Children's Hospital - San Diego,Acute Care Hospital,Pediatric,3,0,0,,,,,
2024,California,San Diego,Surgical Site Infections (SSI),Small bowel surgery,080000023,Rady Children's Hospital - San Diego,Acute Care Hospital,Pediatric,1,0,0.03,,,,,
2024,California,San Diego,Surgical Site Infections (SSI),Spinal fusion,080000023,Rady Children's Hospital - San Diego,Acute Care Hospital,Pediatric,23,1,0.29,3.4,0.09,18.95,Same,¥ See Data Dictionary
2024,California,San Diego,Surgical Site Infections (SSI),Thoracic surgery,080000023,Rady Children's Hospital - San Diego,Acute Care Hospital,Pediatric,3,0,0.01,,,,,
2024,California,San Diego,Surgical Site Infections (SSI),All procedures,080000036,Sharp Memorial Hospital,Acute Care Hospital,Major Teaching,5656,48,47.89,1,0.75,1.32,Same,
2024,California,San Diego,Surgical Site Infections (SSI),Appendix surgery,080000036,Sharp Memorial Hospital,Acute Care Hospital,Major Teaching,428,1,2.44,0.41,0.02,2.02,Same,
2024,California,San Diego,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",080000036,Sharp Memorial Hospital,Acute Care Hospital,Major Teaching,68,7,2.87,2.44,1.07,4.83,Worse,
2024,California,San Diego,Surgical Site Infections (SSI),Cardiac surgery,080000036,Sharp Memorial Hospital,Acute Care Hospital,Major Teaching,271,0,1.13,0,0,2.66,Same,
2024,California,San Diego,Surgical Site Infections (SSI),Colon surgery,080000036,Sharp Memorial Hospital,Acute Care Hospital,Major Teaching,440,11,9.89,1.11,0.59,1.93,Same,
2024,California,San Diego,Surgical Site Infections (SSI),"Coronary bypass,chest and donor incisions",080000036,Sharp Memorial Hospital,Acute Care Hospital,Major Teaching,113,2,1.11,1.8,0.3,5.96,Same,
2024,California,San Diego,Surgical Site Infections (SSI),"Coronary bypass,chest incision only",080000036,Sharp Memorial Hospital,Acute Care Hospital,Major Teaching,18,2,0.14,,,,,
2024,California,San Diego,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),080000036,Sharp Memorial Hospital,Acute Care Hospital,Major Teaching,365,2,2.03,0.99,0.17,3.26,Same,
2024,California,San Diego,Surgical Site Infections (SSI),Gallbladder surgery,080000036,Sharp Memorial Hospital,Acute Care Hospital,Major Teaching,539,3,2.34,1.28,0.33,3.49,Same,
2024,California,San Diego,Surgical Site Infections (SSI),Gastric surgery,080000036,Sharp Memorial Hospital,Acute Care Hospital,Major Teaching,355,0,2.32,0,0,1.29,Same,
2024,California,San Diego,Surgical Site Infections (SSI),Heart transplant,080000036,Sharp Memorial Hospital,Acute Care Hospital,Major Teaching,15,0,0.23,0,0,15.83,Same,¥ See Data Dictionary
2024,California,San Diego,Surgical Site Infections (SSI),Hip prosthesis,080000036,Sharp Memorial Hospital,Acute Care Hospital,Major Teaching,277,2,2.51,0.8,0.13,2.64,Same,
2024,California,San Diego,Surgical Site Infections (SSI),"Hysterectomy, abdominal",080000036,Sharp Memorial Hospital,Acute Care Hospital,Major Teaching,31,0,0.23,0,0,15.83,Same,¥ See Data Dictionary
2024,California,San Diego,Surgical Site Infections (SSI),"Hysterectomy, vaginal",080000036,Sharp Memorial Hospital,Acute Care Hospital,Major Teaching,1,0,0.01,,,,,
2024,California,San Diego,Surgical Site Infections (SSI),Kidney surgery,080000036,Sharp Memorial Hospital,Acute Care Hospital,Major Teaching,154,0,0.51,0,0,7.26,Same,¥ See Data Dictionary
2024,California,San Diego,Surgical Site Infections (SSI),Kidney transplant,080000036,Sharp Memorial Hospital,Acute Care Hospital,Major Teaching,101,2,0.41,4.94,0.6,17.84,Same,¥ See Data Dictionary
2024,California,San Diego,Surgical Site Infections (SSI),Knee prosthesis,080000036,Sharp Memorial Hospital,Acute Care Hospital,Major Teaching,194,0,0.82,0,0,4.49,Same,¥ See Data Dictionary
2024,California,San Diego,Surgical Site Infections (SSI),Laminectomy,080000036,Sharp Memorial Hospital,Acute Care Hospital,Major Teaching,508,0,2.16,0,0,1.39,Same,
2024,California,San Diego,Surgical Site Infections (SSI),Open reduction of fracture,080000036,Sharp Memorial Hospital,Acute Care Hospital,Major Teaching,463,4,3.13,1.28,0.41,3.08,Same,
2024,California,San Diego,Surgical Site Infections (SSI),Ovarian surgery,080000036,Sharp Memorial Hospital,Acute Care Hospital,Major Teaching,26,0,0.02,,,,,
2024,California,San Diego,Surgical Site Infections (SSI),Pacemaker surgery,080000036,Sharp Memorial Hospital,Acute Care Hospital,Major Teaching,169,0,0.31,0,0,11.79,Same,¥ See Data Dictionary
2024,California,San Diego,Surgical Site Infections (SSI),Rectal surgery,080000036,Sharp Memorial Hospital,Acute Care Hospital,Major Teaching,179,0,3.07,0,0,0.98,Better,
2024,California,San Diego,Surgical Site Infections (SSI),Small bowel surgery,080000036,Sharp Memorial Hospital,Acute Care Hospital,Major Teaching,254,6,4.93,1.22,0.49,2.53,Same,
2024,California,San Diego,Surgical Site Infections (SSI),Spinal fusion,080000036,Sharp Memorial Hospital,Acute Care Hospital,Major Teaching,477,5,4.38,1.14,0.42,2.53,Same,
2024,California,San Diego,Surgical Site Infections (SSI),Spleen surgery,080000036,Sharp Memorial Hospital,Acute Care Hospital,Major Teaching,17,0,0.07,,,,,
2024,California,San Diego,Surgical Site Infections (SSI),Thoracic surgery,080000036,Sharp Memorial Hospital,Acute Care Hospital,Major Teaching,193,1,0.84,1.19,0.03,6.64,Same,¥ See Data Dictionary
2024,California,San Diego,Surgical Site Infections (SSI),Abdominal aortic aneurysm repair,080000045,Grossmont Hospital,Acute Care Hospital,Major Teaching,1,0,0.01,,,,,
2024,California,San Diego,Surgical Site Infections (SSI),All procedures,080000045,Grossmont Hospital,Acute Care Hospital,Major Teaching,4334,19,27.1,0.7,0.44,1.08,Same,
2024,California,San Diego,Surgical Site Infections (SSI),Appendix surgery,080000045,Grossmont Hospital,Acute Care Hospital,Major Teaching,295,2,1.69,1.19,0.2,3.92,Same,
2024,California,San Diego,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",080000045,Grossmont Hospital,Acute Care Hospital,Major Teaching,9,1,0.28,3.6,0.09,20.04,Same,¥ See Data Dictionary
2024,California,San Diego,Surgical Site Infections (SSI),Cardiac surgery,080000045,Grossmont Hospital,Acute Care Hospital,Major Teaching,155,0,0.56,0,0,6.58,Same,¥ See Data Dictionary
2024,California,San Diego,Surgical Site Infections (SSI),Cesarean section,080000045,Grossmont Hospital,Acute Care Hospital,Major Teaching,768,2,2.05,0.98,0.16,3.23,Same,
2024,California,San Diego,Surgical Site Infections (SSI),Colon surgery,080000045,Grossmont Hospital,Acute Care Hospital,Major Teaching,193,0,5.17,0,0,0.58,Better,
2024,California,San Diego,Surgical Site Infections (SSI),"Coronary bypass,chest and donor incisions",080000045,Grossmont Hospital,Acute Care Hospital,Major Teaching,99,0,0.77,0,0,4.79,Same,¥ See Data Dictionary
2024,California,San Diego,Surgical Site Infections (SSI),"Coronary bypass,chest incision only",080000045,Grossmont Hospital,Acute Care Hospital,Major Teaching,6,0,0.04,,,,,
2024,California,San Diego,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),080000045,Grossmont Hospital,Acute Care Hospital,Major Teaching,194,1,0.99,1.01,0.03,5.62,Same,¥ See Data Dictionary
2024,California,San Diego,Surgical Site Infections (SSI),Gallbladder surgery,080000045,Grossmont Hospital,Acute Care Hospital,Major Teaching,623,4,2.41,1.66,0.53,4.01,Same,
2024,California,San Diego,Surgical Site Infections (SSI),Gastric surgery,080000045,Grossmont Hospital,Acute Care Hospital,Major Teaching,46,1,1.03,0.98,0.05,4.81,Same,
2024,California,San Diego,Surgical Site Infections (SSI),Hip prosthesis,080000045,Grossmont Hospital,Acute Care Hospital,Major Teaching,271,0,2.4,0,0,1.25,Same,
2024,California,San Diego,Surgical Site Infections (SSI),"Hysterectomy, abdominal",080000045,Grossmont Hospital,Acute Care Hospital,Major Teaching,42,0,0.33,0,0,11.05,Same,¥ See Data Dictionary
2024,California,San Diego,Surgical Site Infections (SSI),Knee prosthesis,080000045,Grossmont Hospital,Acute Care Hospital,Major Teaching,227,1,1.18,0.84,0.04,4.16,Same,
2024,California,San Diego,Surgical Site Infections (SSI),Laminectomy,080000045,Grossmont Hospital,Acute Care Hospital,Major Teaching,315,0,1.32,0,0,2.27,Same,
2024,California,San Diego,Surgical Site Infections (SSI),Open reduction of fracture,080000045,Grossmont Hospital,Acute Care Hospital,Major Teaching,242,2,1.56,1.28,0.22,4.24,Same,
2024,California,San Diego,Surgical Site Infections (SSI),Ovarian surgery,080000045,Grossmont Hospital,Acute Care Hospital,Major Teaching,52,0,0.03,,,,,
